COD_Ateneo,NomeRubrica,NomeOperativo,Score
102,Politecnico di TORINO,Torino Politecnico,95
2801,PADOVA,Padova,100
1502,Politecnico di MILANO,Milano Politecnico,95
3701,BOLOGNA,Bologna,100
6501,SALERNO,Salerno,100
6301,Napoli Federico II,Napoli Federico II,100
7201,BARI,Bari,100
1701,BRESCIA,Brescia,100
8701,CATANIA,Catania,100
5001,PISA,Pisa,100
8301,MESSINA,Messina,100
5802,"ROMA ""Tor Vergata""",Roma Tor Vergata,96
5801,"ROMA ""La Sapienza""",Roma La Sapienza,96
7001,MOLISE,Molise,100
6302,"""Parthenope"" di NAPOLI",Napoli Parthenope,95
8201,PALERMO,Palermo,100
1001,GENOVA,Genova,100
101,TORINO,Torino,100
1501,MILANO,Milano,100
7901,CATANZARO,Catanzaro,100
1509,MILANO-BICOCCA,Milano Bicocca,100
5401,PERUGIA,Perugia,100
2201,TRENTO,Trento,100
3401,PARMA,Parma,100
7202,Politecnico di BARI,Bari Politecnico,95
1801,PAVIA,Pavia,100
3801,FERRARA,Ferrara,100
3201,TRIESTE,Trieste,100
7801,Mediterranea di REGGIO CALABRIA,Calabria,90
5003,Scuola Superiore Sant'Anna,Pisa S.Anna,85
6601,L'AQUILA,L'Aquila,100
5601,TUSCIA,Tuscia,100
3001,UDINE,Udine,100
5201,SIENA,Siena,100
201,PIEMONTE ORIENTALE,Piemonte Orientale,100
7601,BASILICATA,Basilicata,100
4801,FIRENZE,Firenze,100
5807,ROMA TRE,Roma Tre,100
6901,CHIETI-PESCARA,Chieti e Pescara,95
7501,SALENTO,Salento,100
3202,SISSA - TRIESTE,Trieste SISSA,95
2701,"""Ca' Foscari"" VENEZIA",Venezia Cà Foscari,89
3601,MODENA e REGGIO EMILIA,Modena e Reggio Emilia,100
6701,TERAMO,Teramo,100
2301,VERONA,Verona,100
4201,Politecnica delle MARCHE,Marche,90
5201,Gran Sasso Science Institute,Siena,72
9201,CAGLIARI,Cagliari,100
6201,SANNIO di BENEVENTO,Sannio,90
4302,CAMERINO,Camerino,100
6303,"""L'Orientale"" di NAPOLI",Napoli L'Orientale,95
4101,Urbino Carlo Bo,Urbino Carlo Bo,100
4301,MACERATA,Macerata,100
1202,INSUBRIA,Insubria,100
1601,BERGAMO,Bergamo,100
7801,della CALABRIA,Calabria,90
7101,FOGGIA,Foggia,100
5002,Scuola Normale Superiore di PISA,Pisa Normale,85
2702,Università IUAV di VENEZIA,Venezia Iuav,85
9001,SASSARI,Sassari,100
5202,Stranieri di SIENA,Siena Stranieri,95
6001,CASSINO e LAZIO MERIDIONALE,Cassino,90
5403,Stranieri di PERUGIA,Perugia Stranieri,95
1801,I.U.S.S. - PAVIA,Pavia,90
4601,Scuola IMT Alti Studi LUCCA,Lucca - IMT,85
5806,"ROMA ""Foro Italico""",Roma Foro Italico,97
5807,ROMA TRE,Roma Tre,55
