score,nome_esteso_miur,nome_operativo_miur,display_name_oa,id_openalex,match_type
94.01,Università degli studi di Torino,Torino,Università degli Studi di Enna Kore,https://openalex.org/I246010334,display_name
93.17,Politecnico di Torino,Torino Politecnico,Politecnico di Milano,https://openalex.org/I93860229,display_name
89.57,Istituto Superiore di Educazione Fisica di Torino,Torino ISEF,Istituto Superiore di Sanità,https://openalex.org/I27897274,display_name
98.73,"Università degli studi del Piemonte orientale ""Amedeo Avogadro""",Piemonte Orientale,Università degli Studi del Piemonte Orientale “Amedeo Avogadro”,https://openalex.org/I123338534,display_name
89.84,Università di Scienze Gastronomiche,Bra - Scienze Gastronomiche,Università di Camerino,https://openalex.org/I112859197,display_name
87.04,Università della Valle d'Aosta,Aosta,University of Aosta Valley,https://openalex.org/I4210133595,display_name
95.23,Università degli studi di Genova,Genova,Università degli Studi di Enna Kore,https://openalex.org/I246010334,display_name
93.32,"Università ""Carlo Cattaneo"" (LIUC)",Castellanza LIUC,University Carlo Cattaneo,https://openalex.org/I2802304065,display_name
94.33,Università degli Studi dell' Insubria,Insubria,Università degli Studi della Tuscia,https://openalex.org/I138938424,display_name
86.20,"Università telematica ""e-Campus"" di Novedrate (CO)",Novedrate e-Campus,Università Cattolica del Sacro Cuore,https://openalex.org/I103320735,display_name
94.01,Università degli Studi di Milano,Milano,Università degli Studi di Enna Kore,https://openalex.org/I246010334,display_name
100.00,Politecnico di Milano,Milano Politecnico,Politecnico di Milano,https://openalex.org/I93860229,display_name
85.54,Università Commerciale Luigi Bocconi di Milano,Milano Bocconi,Università degli Studi Internazionali di Roma,https://openalex.org/I4210135106,display_name
98.95,"Università Cattolica del ""Sacro Cuore""",Milano Cattolica,Università Cattolica del Sacro Cuore,https://openalex.org/I103320735,display_name
87.17,Libera Università di Lingue e Comunicazione (IULM),Milano IULM,Libera Università Internazionale degli Studi Sociali Guido Carli,https://openalex.org/I56441308,display_name
88.41,Istituto Superiore di Educazione Fisica di Milano,Milano ISEF,Istituto Superiore di Sanità,https://openalex.org/I27897274,display_name
87.28,Istituto Superiore di Educazione Fisica della Lombardia,Milano ISEF Lombardia,Istituto Superiore per la Protezione e la Ricerca Ambientale,https://openalex.org/I4210116113,display_name
86.41,Libera Università Vita-Salute San Raffaele di Milano,Milano San Raffaele,Libera Università Maria SS. Assunta,https://openalex.org/I128649747,display_name
90.29,Università degli Studi di Milano - Bicocca,Milano Bicocca,Sapienza University of Rome,https://openalex.org/I861853513,alternative
100.00,Humanitas University,Rozzano (MI) Humanitas University,Humanitas University,https://openalex.org/I1339471597,display_name
94.66,Università degli Studi di Bergamo,Bergamo,Università degli Studi di Enna Kore,https://openalex.org/I246010334,display_name
93.99,Università degli Studi di Brescia,Brescia,Università degli Studi della Tuscia,https://openalex.org/I138938424,display_name
93.35,Università degli Studi di Pavia,Pavia,Università degli Studi della Tuscia,https://openalex.org/I138938424,display_name
93.35,Università degli Studi di Pavia,Pavia,Università degli Studi della Tuscia,https://openalex.org/I138938424,display_name
100.00,Istituto universitario di studi superiori di Pavia,Pavia IUSS,Istituto Universitario di Studi Superiori di Pavia,https://openalex.org/I2800920820,display_name
87.38,Libera Università di Bolzano,Bolzano,Libera Università Maria SS. Assunta,https://openalex.org/I128649747,display_name
94.56,Università degli Studi di Trento,Trento,Università degli Studi di Enna Kore,https://openalex.org/I246010334,display_name
95.80,Università degli Studi di Verona,Verona,Università degli Studi di Enna Kore,https://openalex.org/I246010334,display_name
91.10,Università degli studi Ca' Foscari di Venezia,Venezia Cà Foscari,Università degli Studi di Enna Kore,https://openalex.org/I246010334,display_name
100.00,Università Iuav di Venezia,Venezia Iuav,Università Iuav di Venezia,https://openalex.org/I11986463,display_name
93.50,Università degli Studi di Padova,Padova,Università degli Studi di Enna Kore,https://openalex.org/I246010334,display_name
93.35,Università degli Studi di Udine,Udine,Università degli Studi della Tuscia,https://openalex.org/I138938424,display_name
93.46,Università degli Studi di Trieste,Trieste,Università degli Studi della Tuscia,https://openalex.org/I138938424,display_name
100.00,Scuola Internazionale Superiore di Studi Avanzati di Trieste,Trieste SISSA,Scuola Internazionale Superiore di Studi Avanzati,https://openalex.org/I138549579,display_name
94.06,Università degli Studi di Parma,Parma,Università degli Studi di Enna Kore,https://openalex.org/I246010334,display_name
90.98,Università degli Studi di Modena e Reggio Emilia,Modena e Reggio Emilia,Università degli studi di Cassino e del Lazio Meridionale,https://openalex.org/I186995768,display_name
93.46,Università degli Studi di Bologna,Bologna,Università degli Studi di Enna Kore,https://openalex.org/I246010334,display_name
88.20,Istituto Superiore di Educazione Fisica di Bologna,Bologna ISEF,Istituto Superiore di Sanità,https://openalex.org/I27897274,display_name
93.46,Università degli Studi di Ferrara,Ferrara,Università degli Studi di Enna Kore,https://openalex.org/I246010334,display_name
90.78,"Università degli studi ""Carlo Bo"" di Urbino",Urbino Carlo Bo,Università degli Studi Suor Orsola Benincasa,https://openalex.org/I2802142324,display_name
88.41,Istituto Superiore di Educazione Fisica di Urbino,Urbino ISEF,Istituto Superiore di Sanità,https://openalex.org/I27897274,display_name
88.09,Università Politecnica delle Marche - Ancona,Marche,Università Cattolica del Sacro Cuore,https://openalex.org/I103320735,display_name
94.01,Università degli Studi di Macerata,Macerata,Università degli Studi della Tuscia,https://openalex.org/I138938424,display_name
100.00,Università degli Studi di Camerino,Camerino,Università di Camerino,https://openalex.org/I112859197,display_name
100.00,Scuola IMT Alti Studi di Lucca,Lucca - IMT,IMT School for Advanced Studies Lucca,https://openalex.org/I127077003,alternative
94.66,Università degli Studi di Firenze,Firenze,Università degli Studi di Enna Kore,https://openalex.org/I246010334,display_name
88.20,Istituto Superiore di Educazione Fisica di Firenze,Firenze ISEF,Istituto Superiore di Sanità,https://openalex.org/I27897274,display_name
88.53,Istituto Italiano di Scienze Umane di Firenze,Firenze - Istituto Italiano di Scienze Umane,"Istituto Nazionale di Fisica Nucleare, Sezione di Pisa",https://openalex.org/I4210160382,display_name
