ateneo_id,score,cognome_rubrica,nome_completo_rubrica,display_name_openalex,author_id_openalex,orcid
https://openalex.org/I93860229,100.00,ABATANGELO Laura,ABATANGELO Laura,Laura Abatangelo,https://openalex.org/A5042763725,https://orcid.org/0000-0002-0692-0313
https://openalex.org/I93860229,100.00,ABBA' Antonella,ABBA' Antonella,Antonella De Montis,https://openalex.org/A5039870115,
https://openalex.org/I93860229,100.00,ABDELKAFI Nizar,ABDELKAFI Nizar,Nizar Abdelkafi,https://openalex.org/A5025826784,https://orcid.org/0000-0002-4996-659X
https://openalex.org/I93860229,100.00,ACCONCIA Giulia,ACCONCIA Giulia,Giulia Acconcia,https://openalex.org/A5040933634,https://orcid.org/0000-0003-3190-4953
https://openalex.org/I93860229,100.00,ACERBI Federica,ACERBI Federica,Federica Acerbi,https://openalex.org/A5007169596,https://orcid.org/0000-0002-0818-4620
https://openalex.org/I93860229,100.00,ACETI Pietro,ACETI Pietro,Pietro Aceti,https://openalex.org/A5070797402,https://orcid.org/0000-0003-3197-6009
https://openalex.org/I93860229,100.00,ACITO Maurizio,ACITO Maurizio,Maurizio Acito,https://openalex.org/A5027943982,https://orcid.org/0000-0003-3588-1146
https://openalex.org/I93860229,100.00,AGASISTI Tommaso,AGASISTI Tommaso,Tommaso Agasisti,https://openalex.org/A5082397298,https://orcid.org/0000-0002-8146-3079
https://openalex.org/I93860229,100.00,AGOSTA Giovanni,AGOSTA Giovanni,Giovanni Agosta,https://openalex.org/A5069191452,https://orcid.org/0000-0002-0255-4475
https://openalex.org/I93860229,100.00,AGOSTINO Deborah,AGOSTINO Deborah,Deborah Agostino,https://openalex.org/A5049477555,https://orcid.org/0000-0002-4921-4953
https://openalex.org/I93860229,100.00,AHMED Ibrahim,AHMED Ibrahim,Ibrahim Ahmed,https://openalex.org/A5100743340,https://orcid.org/0000-0003-2696-3086
https://openalex.org/I93860229,100.00,AIROLDI Alessandro Antonio,AIROLDI Alessandro Antonio,Ali Badr Eldin Ali Mohamed,https://openalex.org/A5101352047,
https://openalex.org/I93860229,100.00,AITA Danila,AITA Danila,Danila Aita,https://openalex.org/A5090295140,https://orcid.org/0000-0002-2823-711X
https://openalex.org/I93860229,100.00,AJOVALASIT Marco,AJOVALASIT Marco,Marco Ajovalasit,https://openalex.org/A5068372988,https://orcid.org/0000-0003-1562-5751
https://openalex.org/I93860229,100.00,ALBANI Francesca Lucia Maria,ALBANI Francesca Lucia Maria,"Maria G. Signorini""",https://openalex.org/A5061128948,
https://openalex.org/I93860229,100.00,ALBERTELLI Paolo,ALBERTELLI Paolo,Paolo Albertelli,https://openalex.org/A5011376043,https://orcid.org/0000-0001-5098-0420
https://openalex.org/I93860229,100.00,ALBERTI Luca,ALBERTI Luca,Luca Alberti,https://openalex.org/A5005597267,https://orcid.org/0000-0001-7845-8992
https://openalex.org/I93860229,100.00,ALBISETTI Edoardo,ALBISETTI Edoardo,Edoardo Albisetti,https://openalex.org/A5023725458,https://orcid.org/0000-0002-8134-0482
https://openalex.org/I93860229,100.00,ALFANI Dario,ALFANI Dario,Dario Alfani,https://openalex.org/A5027850514,https://orcid.org/0000-0003-0741-716X
https://openalex.org/I93860229,100.00,ALIPPI Cesare,ALIPPI Cesare,Cesare Alippi,https://openalex.org/A5005003786,https://orcid.org/0000-0003-3819-0025
https://openalex.org/I93860229,100.00,ALIVERTI Andrea,ALIVERTI Andrea,Andrea Aliverti,https://openalex.org/A5108152318,
https://openalex.org/I93860229,100.00,ALLEGRI Davide,ALLEGRI Davide,Davide Allegri,https://openalex.org/A5041092607,
